Date,Date,price,24h_volume,50d_ema,20d_ema,10d_ema,5d_ema,10_20_ema,5_20_ema,10_20_acc,5_20_acc,14d_RSI,14d_rtn,7d_rtn,stance1,stance2,stance3,stance4,stance,stanceLO,log_price,log_rtn,equity_log_return,cumulative_equity_return,equity_log_return_LO,cumulative_equity_return_LO,cumulative_price
2021-01-28,2021-01-28,3.699511535159664,41769652.736767605,3.699511535159664,3.699511535159664,3.699511535159664,3.699511535159664,1.0,1.0,,,,1.4386246777747371,0.5465476291717011,,,,,0,1,1.3082007934106832,,0.0,1.0,,,
2021-01-29,2021-01-29,3.817402068465168,39406683.91005037,3.7041346933285073,3.710739204998283,3.7209461775788464,3.738808379594832,1.0027506574880862,1.007564308092237,,,100.0,1.410062953850928,0.6807888240571992,0.0,0.0,1.0,1.0,0,1,1.339570104465336,0.031369311054652904,0.0,1.0,0.031369311054652904,1.0318665132369742,1.0318665132369742
2021-01-30,2021-01-30,3.8643485930849732,56780983.11915729,3.7104175913581727,3.725368670530349,3.7470193440345057,3.7806551174248795,1.0058116861494608,1.014840530370021,,,100.0,1.3881916100316638,0.7355183081524888,0.0,0.0,1.0,1.0,0,1,1.3517931278827902,0.01222302341745407,0.0,1.0,0.01222302341745407,1.0445564384267274,1.0445564384267274
2021-01-31,2021-01-31,4.233485772671465,67081650.437249236,3.7309300690567335,3.7737607754961697,3.8354677856048616,3.931598669173742,1.0163515956044085,1.0418250925449348,,,100.0,1.0583439018679637,0.44506400646582234,0.0,0.0,1.0,1.0,0,1,1.443025713440589,0.0912325855577989,0.0,1.0,0.0912325855577989,1.1443364164260557,1.1443364164260557
2021-02-01,2021-02-01,4.263968588843047,97446415.859447,3.7518335404209027,3.820447233910158,3.913377022557259,4.042388642396844,1.0243243219857243,1.0580930437977893,1.0143354987338906,1.0328253889906982,100.0,1.046833135966326,0.5613012969968174,0.0,1.0,1.0,2.0,0,1,1.4502003202423779,0.00717460680178883,0.0,1.0,0.00717460680178883,1.1525761031743944,1.1525761031743944
2021-02-02,2021-02-02,4.594574802707021,46965792.231593795,3.7848822173732994,3.894173669033669,4.03723116440267,4.22645069583357,1.0367362905528816,1.0853267098594386,1.019211047949432,1.042050421570721,100.0,0.9255982981920721,0.7213235442852143,1.0,1.0,2.0,2.0,1,2,1.5248762167506402,0.07467589650826234,0.07467589650826234,1.0775348614736575,0.14935179301652468,1.3382346497675128,1.2419409316718693
2021-02-03,2021-02-03,5.257321084771443,123805679.78884633,3.8426249180555794,4.023997232437266,4.259065695378811,4.5700741588128615,1.0584166562160302,1.1357050949174847,1.0292596748243645,1.0642332199753841,100.0,0.5792845625784611,0.49128010350203327,1.0,1.0,2.0,2.0,1,2,1.6596215975394804,0.13474538078884013,0.13474538078884013,1.2329643090072397,0.26949076157768026,1.7521473299676198,1.4210851986286746
2021-02-04,2021-02-04,5.721470793794539,94154842.87095357,3.9163051484767153,4.185661381137959,4.5249575314543975,4.953873037140088,1.0810615382900834,1.1835341146954594,1.0361167811203416,1.0750636233064728,100.0,0.438778821591142,0.5768183480264452,1.0,1.0,2.0,2.0,1,2,1.7442259041212576,0.0846043065817772,0.0846043065817772,1.3418182321429715,0.1692086131635544,2.0751858057000754,1.546547629171701
2021-02-05,2021-02-05,6.41624673360909,136705073.21189842,4.014342073383867,4.398098081373305,4.8688282954825235,5.441330935963089,1.1070304039154655,1.237200907139396,1.0428789149178086,1.085290634566509,100.0,0.4046627267793995,0.4338880169570372,1.0,1.0,2.0,2.0,1,2,1.858833325811255,0.11460742168999749,0.11460742168999749,1.5047593808260264,0.22921484337999498,2.609778985775197,1.7343497033675763
2021-02-06,2021-02-06,6.706647732382283,122560651.23753116,4.119922687462236,4.617959952897969,5.202977284009752,5.863103201436154,1.1266830672155699,1.2696305860679462,1.0413106018596985,1.0738836331191643,100.0,0.7058998561462014,0.3760682320741204,1.0,1.0,2.0,2.0,1,2,1.9030992333560066,0.04426590754475157,0.04426590754475157,1.5728651824337228,0.08853181508950314,2.851363648649068,1.8128468227881434
